text,label
"Где найти информацию о программах международного обмена?",1.0
"Как попасть в студенческий совет?",0.7
"Какие есть варианты проживания для иногородних студентов?",0.9
"Как оформить академический отпуск?",0.9
"Какие языковые курсы доступны для студентов?",0.8
"Как работает система перезачета дисциплин?",0.8
"Где можно посмотреть свои оценки за текущий модуль?",0.9
"Какие есть возможности для стартапов в ВШЭ?",0.8
"Как принять участие в научной конференции?",1.0
"Какие спортивные секции есть в университете?",0.7
"Как получить доступ к электронной библиотеке?",1.0
"Какие есть гранты для студентов?",1.0
"Как оформить налоговый вычет за обучение?",0.9
"Какие IT-курсы можно пройти дополнительно?",0.8
"Как устроена система кураторства в ВШЭ?",0.7
"Какие есть программы двойных дипломов?",1.0
"Как получить рекомендательное письмо от преподавателя?",0.9
"Какие есть возможности для публикации научных работ?",1.0
"Как принять участие в хакатоне от ВШЭ?",0.8
"Какие есть стажировки для студентов?",0.9
"Как работает система индивидуальных образовательных траекторий?",0.8
"Какие есть меры поддержки для студентов с ограниченными возможностями?",1.0
"Как получить доступ к специализированному программному обеспечению?",0.9
"Какие есть программы менторства в ВШЭ?",0.8
"Как принять участие в организации мероприятий университета?",0.7
"Какие есть возможности для изучения второго иностранного языка?",0.8
"Как получить сертификат о дополнительном образовании?",0.8
"Какие есть исследовательские гранты для студентов?",1.0
"Как устроена система тьюторства в ВШЭ?",0.7
"Какие есть программы по предпринимательству?",0.8
"Как принять участие в конкурсе студенческих работ?",0.9
"Какие есть возможности для волонтерства?",0.7
"Как получить доступ к корпоративной почте?",1.0
"Какие есть программы по развитию soft skills?",0.8
"Как принять участие в летних школах ВШЭ?",0.9
"Какие есть возможности для изучения редких языков?",0.7
"Как получить справку об обучении?",0.9
"Какие есть программы по искусственному интеллекту?",1.0
"Как устроена система академической мобильности?",0.8
"Какие есть курсы по анализу данных?",1.0
"Как принять участие в дебатных турнирах?",0.7
"Какие есть возможности для изучения программирования?",1.0
"Как получить консультацию по карьерному развитию?",0.9
"Какие есть программы по цифровой экономике?",1.0
"Как устроена система защиты персональных данных в ВШЭ?",0.9
"Какие есть курсы по машинному обучению?",1.0
"Как принять участие в кейс-чемпионатах?",0.8
"Какие есть возможности для изучения кибербезопасности?",1.0
"Как получить доступ к платным базам данных?",0.9
"Какие есть программы по управлению проектами?",0.8
"Как устроена система дистанционного обучения?",0.9
"Какие есть курсы по веб-разработке?",1.0
"Как принять участие в научных семинарах?",1.0
"Какие есть возможности для изучения блокчейна?",1.0
"Как получить доступ к 3D-принтерам и другим технологиям?",0.9
"Какие есть программы по цифровому маркетингу?",0.8
"Как устроена система поддержки студенческих инициатив?",0.8
"Какие есть курсы по big data?",1.0
"Как принять участие в конкурсе инновационных проектов?",0.9
"Какие есть возможности для изучения cloud computing?",1.0
"Как получить доступ к лабораториям робототехники?",0.9
